Name,Lat,Lng,Rating,Uers_total_rating,Address,Hotness
Lancemore Crossley St.,-37.81091,144.970981,4.6,28,"51 Little Bourke St, Melbourne VIC 3000",128.8
City Lifestyle Accommodtion,-37.813747,144.955034,2.9,44,"707/270 King St, Melbourne VIC 3000",127.6
Scape Living at Aurora,-37.809614,144.962886,5,23,"236 La Trobe St, Melbourne VIC 3000",115
Saint Domain Serviced Apartments,-37.829344,144.969637,4.3,25,"33 Coventry St, Southbank VIC 3006",107.5
Carlton Terrace,-37.801821,144.968515,4.3,20,"196 Drummond St, Carlton VIC 3053",86
Brooklyn Arts Hotel,-37.80708,144.980675,4.9,17,"48-50 George St, Fitzroy VIC 3065",83.3
Royal Stays Melbourne - Short Stays Furnished ...,-37.82731,144.95887,3.9,20,"283 City Rd, Southbank VIC 3006",78
City Point - Serviced Apartments,-37.816615,144.954279,4.4,17,"668 Bourke St, Melbourne VIC 3000",74.8
Lanbruk Richmond Hill Apartment Hotel,-37.817632,144.99269,4.9,13,"79 Bridge Rd, Richmond VIC 3181",63.7
Adina Apartment Hotel West Melbourne,-37.810188,144.947979,4.6,12,"221 Rosslyn St, West Melbourne VIC 3003",55.2
The Sebel Residences Melbourne Docklands,-37.813848,144.942541,3.1,16,"Cnr Aquitania Way &, Marmion Pl, Docklands VIC...",49.6
HFN Skyline Luxury Apartment,-37.80829,144.96085,2.1,11,"6710/442 Elizabeth St, Melbourne VIC 3000",23.1
M?venpick Hotel Melbourne On Spencer,-37.817267,144.953646,5,3,"160 Spencer St, Melbourne VIC 3000",15
Mvenpick Hotel Melbourne On Spencer,-37.817267,144.953646,5,3,"160 Spencer St, Melbourne VIC 3000",15
ReadySet Apartments on Rose lane,-37.814889,144.954228,1.5,8,"4202/38 Rose Ln, Melbourne VIC 3000",12
British Apartments,-37.80032,144.946222,3.7,3,"162-168 Arden St, North Melbourne VIC 3051",11.1
Alex Apartment,-37.793693,144.943198,5,1,"55 Brougham St, North Melbourne VIC 3051",5
Elmtree Hotel,-37.808744,144.953525,5,1,West Melbourne VIC 3003,5
LittleStay - Swanston,-37.805744,144.96279,5,1,"555 Swanston St, Carlton VIC 3053",5
Melbourne Marriott Hotel Docklands,-37.813688,144.939288,5,1,"15 Waterfront Way, Docklands VIC 3008",5
LittleStay - Collins,-37.818376,144.955436,1,1,"568 Collins St, Melbourne VIC 3000",1
BudgetHotel,-37.817087,144.955594,0,0,"131 King St, Melbourne VIC 3000",0
Comfort Apartments Royal Gardens,-37.804695,144.974699,0,0,"8 Royal Ln, Fitzroy VIC 3065",0
Hotel,-37.808229,144.959982,0,0,"Franklin St, Melbourne VIC 3000",0
Iblea Hotel,-37.804098,144.957094,0,0,"329 Queensberry St, North Melbourne VIC 3051",0
Manhattan Apartment,-37.815004,144.954146,0,0,"33 Rose Ln, Melbourne VIC 3000",0
Melbourne CBD Central,-37.81274,144.968813,0,0,"155 Bourke St, Melbourne VIC 3000",0
Moza Hotel,-37.796928,144.957092,0,0,"18 Jageurs Ln, Parkville VIC 3052",0
My stay,-37.821001,144.941543,0,0,"889 Collins St, Docklands VIC 3008",0
swantson hotel grand mercure,-37.818221,144.963464,0,0,"328 Flinders St, Melbourne VIC 3000",0
