,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
91,BangPop,4.3,489,"Asian, Thai",$$ - $$$,“Thai Delight”,-37.824201,144.95135,Thai,2591.7
92,Mamak,4.1,507,"Asian, Malaysian",$,"“... everyday in Malaysia, and were sore...”",-37.8122826,144.9615784,Malaysian,2585.7
93,Ca de Vin,4.1,507,"Italian, Pizza",$$ - $$$,"“Crispy thin pizza , friendly service makes this the easiest and most fun plac...”",-37.8138627,144.9636075,Italian,2585.7
94,Tutto Bene,3.7,560,"Italian, Mediterranean",$$ - $$$,“As a dessert we had the tiramisu just for this one I wasn’t really happy”,-37.8202591,144.9659072,Italian,2632
95,Terra Rossa Restaurant & Bar,4.5,460,"Italian, Pizza",$$ - $$$,“Lunch”,51.5395044,-0.102677,Italian,2530
96,Red Emperor Chinese Restaurant,4.3,481,"Chinese, Asian",$$ - $$$,“I was impressed with the dumplings they were lovely and fresh.”,-37.8200814,144.9664159,Chinese,2549.3
97,Hofbrauhaus,4.5,458,"German, Bar",$$ - $$$,“Wonderful German Fare”,-37.8116657,144.9692918,Europe,2519
98,Il Nostro Posto,3.9,521,"Italian, Pizza",$$ - $$$,“We enjoyed rotini pasta and margarita pasta with 🍷 Jacopo provided us with a...”,-37.8133452,144.9611632,Italian,2552.9
99,Seasons Provedore,4.2,471,"Italian, Neapolitan",$$ - $$$,“We started with the garlic bread which...”,-37.800967,144.966654,Italian,2449.2
100,San Antone by Bludso's Bbq,4,494,"American, Southwestern",$$ - $$$,“It's all about the cornbread!”,-37.8238889,144.9575,American,2470
105,Mr,4.4,439,Australian,$$ - $$$,"“My prawn starter extremely tasty, Duck for main cooked to perfection as was m...”",-37.8389362,144.9750694,Australian,2370.6
102,La Spaghettata,3.9,502,"Italian, Mediterranean",$$ - $$$,“Menu includes a great selection of pasta dishes”,-37.8017793,144.9671979,Italian,2459.8
103,Papa Gino's Pizza Restaurant,4.4,443,"Italian, Pizza",$$ - $$$,“There pizza tastes amazing and their staff are great people.”,-37.8002083,144.9667889,Italian,2392.2
104,Operator 25,4.5,432,"Cafe, Australian",$$ - $$$,“Perfectly cooked salmon on a bed of ric...”,-37.8107008,144.9570026,Australian,2376
114,Burma Lane,4.3,420,"Australian, Asian",$$ - $$$,“We can never pass up the Duck Doughnut...”,-37.813302,144.969907,Australian,2226
106,Teatro,3.9,495,"Italian, Pizza",$$ - $$$,"“Great place, great mussels”",-37.8198677,144.9678449,Italian,2425.5
107,Bomba,4.4,437,"Mediterranean, Spanish",$$ - $$$,“... atmosphere excellent wine with a delicious variety of tapas to order.”,-37.8104041,144.9691967,Mediterranean,2359.8
